common_answer,first_name_equality,organization_similarity,email_equality,year_difference,last_name_length,initials_equality,namespace_size,country_equality,city_equality,organization_type_equality,jds_similarity,sts_similarity
1,0.16666666666666663,0.0,0,0.0,0.47058823529411764,1,0.0006272409822406545,0,0,0,0.629170177022848,0.4661583873138896
1,1.0,0.0,0,0.045454545454545456,0.17647058823529413,1,0.0005336229251898106,0,0,0,0.21769925724423642,0.10593233793428253
1,1.0,0.0,0,0.18181818181818182,0.29411764705882354,1,0.005064736886450659,0,0,0,0.0,0.02026799349836064
1,1.0,0.0,0,0.10606060606060606,0.29411764705882354,1,0.00042128125672879786,0,0,0,0.032277591577368585,0.016659642349157403
1,1.0,0.6111111111111112,0,0.19696969696969696,0.23529411764705882,1,0.0033328028310100452,1,1,1,0.6616308069098767,0.43666733972153965
1,1.0,0.32352941176470584,0,0.12121212121212122,0.35294117647058826,1,0.0016383159983897695,1,0,0,0.26708190505799306,0.3938119468575614
1,0.7142857142857143,0.0,0,0.10606060606060606,0.23529411764705882,0,0.0021625771178744955,0,0,0,0.4236777222408951,0.3951339212115007
1,1.0,0.37777777777777777,0,0.22727272727272727,0.35294117647058826,1,0.0045123903498506795,0,0,0,0.14005733276469892,0.36401048522953594
0,0.09999999999999998,0.5,0,0.18181818181818182,0.17647058823529413,0,0.04226855275845605,1,0,1,0.0,0.03070455763910422
1,0.16666666666666663,0.0,0,0.015151515151515152,0.5294117647058824,1,0.006422198713687896,0,0,0,0.5457957539762844,0.28355833821451004
1,1.0,0.0,0,0.06060606060606061,0.11764705882352941,1,0.0033234410253049607,0,0,0,0.3584936095892946,0.41730810555357917
1,1.0,0.0,0,0.07575757575757576,0.17647058823529413,1,0.0015540597470440098,0,0,0,0.5471597150559998,0.3157830866169293
0,0.1428571428571429,0.0,0,0.030303030303030304,0.29411764705882354,1,0.0073209320613759985,0,0,0,0.0,0.01729681989850035
1,1.0,0.0,0,0.13636363636363635,0.23529411764705882,1,0.03501315333701564,0,0,0,0.6605196997070516,0.3564110822724028
1,1.0,0.0,0,0.030303030303030304,0.23529411764705882,1,0.0018255521124914574,0,0,0,0.2559918438547405,0.08367665846530295
1,1.0,0.0,0,0.16666666666666666,0.7647058823529411,1,0.0012638437701863936,0,0,0,0.5618974618555209,0.15340762379139566
1,1.0,0.0,0,0.12121212121212122,0.17647058823529413,1,0.003931958396135447,0,0,0,0.5287078892074706,0.3969319937793315
1,0.16666666666666663,0.0,0,0.19696969696969696,0.23529411764705882,1,0.007826469569450555,0,0,0,0.3494223685548035,0.2681001231407979
1,1.0,0.0,0,0.13636363636363635,0.11764705882352941,1,0.00674986191336585,0,0,0,0.2700603512909864,0.3390851434249862
0,0.1333333333333333,0.0,0,0.12121212121212122,0.11764705882352941,0,0.021747474652911054,0,0,0,0.0,0.030783614649339344
1,1.0,0.0,0,0.045454545454545456,0.23529411764705882,1,0.0009642659876236929,0,0,0,0.34724213992123,0.25510853963736085
1,1.0,0.0,0,0.10606060606060606,0.23529411764705882,1,4.6809028525421986e-05,0,0,0,0.3116087659094929,0.07817642793743274
1,1.0,0.36111111111111116,0,0.13636363636363635,0.35294117647058826,1,0.004615370212606607,1,1,1,0.49419875260470747,0.3311193318503457
1,1.0,0.9375,0,0.015151515151515152,0.23529411764705882,1,0.010550755029630115,1,0,1,0.27794594485634316,0.13087696992280892
1,0.7777777777777778,0.35593220338983056,0,0.13636363636363635,0.11764705882352941,0,0.005598359811640469,1,1,1,0.451701272241898,0.4100040415496734
1,1.0,0.0,0,0.030303030303030304,0.23529411764705882,1,0.008491157774511548,0,0,0,0.3468463235397132,0.38832085128178767
1,1.0,0.24590163934426235,1,0.09090909090909091,0.17647058823529413,1,0.006450284130803149,1,1,0,0.0,0.058998777308148544
1,1.0,0.0,0,0.10606060606060606,0.29411764705882354,1,0.0008706479305728489,0,0,0,0.10316599930220759,0.05422969262736587
1,1.0,0.4285714285714286,0,0.15151515151515152,0.23529411764705882,1,0.0012825673815965624,1,0,1,0.3658078583540553,0.11995469117807954
1,1.0,0.0,0,0.07575757575757576,0.11764705882352941,1,0.009623936264826759,0,0,0,0.412692248210331,0.4099615978125367
1,1.0,0.2564102564102564,0,0.07575757575757576,0.4117647058823529,1,0.0014136326614677438,1,0,0,0.35025050199899005,0.2886457265275931
0,0.1428571428571429,0.0,0,0.3484848484848485,0.35294117647058826,1,0.012900568261606299,0,0,0,0.0,0.028249430599101125
1,1.0,0.0,0,0.10606060606060606,0.11764705882352941,1,0.0008987333476881021,0,0,0,0.056409160022150365,0.06958010413639489
0,0.1428571428571429,0.0,0,0.12121212121212122,0.23529411764705882,1,0.0035013153337015643,0,0,0,0.0,0.15250699448214822
1,1.0,0.0,0,0.12121212121212122,0.11764705882352941,1,0.0035762097793422395,0,0,0,0.5407286614336001,0.09294742985244002
1,1.0,0.0,0,0.12121212121212122,0.23529411764705882,1,0.0013200146044169,0,0,0,0.16961709873564101,0.1576708799247422
1,0.4285714285714286,0.4716981132075472,0,0.18181818181818182,0.23529411764705882,1,0.005542188977409963,1,1,1,0.6173157524364631,0.35174867105838176
1,1.0,0.2790697674418605,0,0.045454545454545456,0.35294117647058826,1,0.007938811237911568,1,0,1,0.22312930768485348,0.26828124428083544
1,0.11111111111111116,0.0,0,0.06060606060606061,0.29411764705882354,1,0.012469925199172416,0,0,0,0.022220929283934942,0.01043741292837058
1,1.0,0.6304347826086957,0,0.030303030303030304,0.0,1,0.012769502981735117,1,1,1,0.20586049455484282,0.027338242481449615
0,0.2857142857142857,0.125,0,0.13636363636363635,0.11764705882352941,0,0.0042128125672879786,0,0,0,0.0,0.019079399125179742
1,0.5,0.2804878048780488,0,0.06060606060606061,0.4117647058823529,1,0.0011702257131355495,1,1,1,0.6746820351222281,0.37090388404517777
1,1.0,0.06666666666666665,0,0.15151515151515152,0.4117647058823529,1,0.0015166125242236724,0,0,0,0.3603970703641812,0.06722553755114563
1,1.0,0.6388888888888888,0,0.18181818181818182,0.29411764705882354,1,0.004531113961260848,0,0,1,0.26573250384844865,0.28700067951997643
1,1.0,0.0,0,0.13636363636363635,0.17647058823529413,1,0.001984702809477892,0,0,0,0.5806343134715585,0.3752268553048432
1,1.0,0.0,0,0.09090909090909091,0.23529411764705882,1,0.004905586189464224,0,0,0,0.42918793224034024,0.2039980062160671
1,0.75,0.0,0,0.045454545454545456,0.4117647058823529,0,0.003679189642098168,0,0,0,0.6371874600476617,0.17550852063591604
1,1.0,0.0,0,0.0,0.11764705882352941,1,0.23260342454852692,0,0,0,0.0,0.009873497616632488
0,1.0,0.0,0,0.10606060606060606,0.23529411764705882,1,0.0012919291873016467,0,0,0,0.0,0.02156105296890912
